Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
chengpinceshi,Chrome 65.0.3325.162,,2018-03-22 09:47:55,2018-03-22 09:51:00,3m - 4.627s,FAILED
,,,,,,
Test Cases/jinxiaocun/chengpinguanli/chengpinliebiao-xinzeng,Chrome 65.0.3325.162,,2018-03-22 09:47:56,2018-03-22 09:48:39,42.761s,PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-22 09:48:01,2018-03-22 09:48:14,13.252s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 09:48:14,2018-03-22 09:48:17,3.274s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u6210\u54C1\u7BA1\u7406,2018-03-22 09:48:17,2018-03-22 09:48:17,0.204s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,\u7B49\u5F85\u6210\u54C1\u5217\u8868\u5B50\u83DC\u5355,2018-03-22 09:48:17,2018-03-22 09:48:18,0.165s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u6210\u54C1\u5217\u8868,2018-03-22 09:48:18,2018-03-22 09:48:19,1.618s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:48:19,2018-03-22 09:48:21,2.008s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u65B0\u589E\u6309\u94AE,2018-03-22 09:48:21,2018-03-22 09:48:22,1.245s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,\u7B49\u5F85\u65B0\u589E\u9875\r\n,2018-03-22 09:48:22,2018-03-22 09:48:23,0.148s,PASSED
uploadFile,Chrome 65.0.3325.162,\u4E0A\u4F20\u6210\u54C1\u56FE\u7247,2018-03-22 09:48:23,2018-03-22 09:48:23,0.283s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u6210\u54C1\u540D\u79F0,2018-03-22 09:48:23,2018-03-22 09:48:24,0.949s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u6210\u54C1\u578B\u53F7,2018-03-22 09:48:24,2018-03-22 09:48:24,0.278s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u6210\u54C1\u7528\u9014,2018-03-22 09:48:24,2018-03-22 09:48:25,0.908s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:48:25,2018-03-22 09:48:27,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:48:27,2018-03-22 09:48:28,0.578s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:48:28,2018-03-22 09:48:30,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u4E09\u7EA7\u5206\u7C7B,2018-03-22 09:48:30,2018-03-22 09:48:30,0.417s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5C3A\u5BF8\u957F,2018-03-22 09:48:30,2018-03-22 09:48:30,0.263s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5C3A\u5BF8\u5BBD,2018-03-22 09:48:30,2018-03-22 09:48:31,0.401s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5C3A\u5BF8\u9AD8,2018-03-22 09:48:31,2018-03-22 09:48:31,0.273s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u989C\u8272,2018-03-22 09:48:31,2018-03-22 09:48:31,0.265s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u91CD\u8981\u7279\u5F81,2018-03-22 09:48:31,2018-03-22 09:48:32,0.578s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u8BA1\u4EF7\u5355\u4F4D,2018-03-22 09:48:32,2018-03-22 09:48:32,0.716s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u8F93\u5165\u8BA1\u6570\u5355\u4F4D,2018-03-22 09:48:32,2018-03-22 09:48:33,0.551s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5907\u6CE8,2018-03-22 09:48:33,2018-03-22 09:48:34,0.602s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u63D0\u4EA4,2018-03-22 09:48:34,2018-03-22 09:48:34,0.179s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:48:34,2018-03-22 09:48:39,5.001s,PASSED
verifyElementText,Chrome 65.0.3325.162,\u9A8C\u8BC1\u65B0\u589E,2018-03-22 09:48:39,2018-03-22 09:48:39,0.178s,PASSED
,,,,,,
Test Cases/jinxiaocun/chengpinguanli/chengpinliebiao-bianji,Chrome 65.0.3325.162,,2018-03-22 09:48:39,2018-03-22 09:49:17,38.042s,PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-22 09:48:41,2018-03-22 09:48:54,13.759s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 09:48:54,2018-03-22 09:48:58,3.604s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u6210\u54C1\u7BA1\u7406,2018-03-22 09:48:58,2018-03-22 09:48:58,0.292s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,\u7B49\u5F85\u6210\u54C1\u5217\u8868\u5B50\u83DC\u5355,2018-03-22 09:48:58,2018-03-22 09:48:58,0.104s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u6210\u54C1\u5217\u8868,2018-03-22 09:48:58,2018-03-22 09:49:00,1.386s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:49:00,2018-03-22 09:49:05,5.002s,PASSED
verifyElementText,Chrome 65.0.3325.162,\u9A8C\u8BC1\u6570\u636E,2018-03-22 09:49:05,2018-03-22 09:49:05,0.067s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u7F16\u8F91\u6309\u94AE,2018-03-22 09:49:05,2018-03-22 09:49:06,0.928s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u7F16\u8F91\u9875\r\n,2018-03-22 09:49:06,2018-03-22 09:49:09,3.002s,PASSED
uploadFile,Chrome 65.0.3325.162,\u4E0A\u4F20\u6210\u54C1\u56FE\u7247,2018-03-22 09:49:09,2018-03-22 09:49:09,0.102s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u6210\u54C1\u540D\u79F0,2018-03-22 09:49:09,2018-03-22 09:49:09,0.648s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u6210\u54C1\u578B\u53F7,2018-03-22 09:49:09,2018-03-22 09:49:10,0.236s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5C3A\u5BF8\u957F,2018-03-22 09:49:10,2018-03-22 09:49:10,0.337s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5C3A\u5BF8\u5BBD,2018-03-22 09:49:10,2018-03-22 09:49:10,0.141s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5C3A\u5BF8\u9AD8,2018-03-22 09:49:10,2018-03-22 09:49:10,0.168s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u989C\u8272,2018-03-22 09:49:10,2018-03-22 09:49:10,0.131s,PASSED
